country,trade_barriers_mean,trade_barriers_se,diversification_mean,diversification_se
Australia,-2.047518420974979,0.06436521192309212,-0.5997292478035158,0.01676560290729124
Austria,-40.20335070757655,2.434605469124866,-115.14427304159749,0.9919263011132434
Belgium and Luxembourg,-66.77022426088207,0.4610516235032892,-107.93993021923788,0.8823662553130157
Canada,-72.77444299769004,0.1408254458153839,-100.4190678730451,0.5507149744024611
China,1.14313068151085,0.10915012803590536,0.463279012731196,0.005542978755440778
Colombia,-43.75710003134931,0.16112571712403884,-65.11488206970557,0.08797118432502264
Denmark,-78.05136789605993,0.5314697212551452,-40.53181452836693,0.8720794394281403
Finland,-36.56630643667739,0.6310316867051335,-66.61566410193684,0.10650336803636974
France,-25.146036783353832,0.17949456395366667,26.455420028581717,0.02158761799376554
Germany,-53.43776275932667,0.2104578776982628,-49.094158977461625,0.12093848518707889
Greece,-22.908846014901563,0.9179751750384652,8.933791212120633,0.06260787133828274
India,-16.57202885692584,0.12325636020641555,-6.1625802223865564,0.1533075524293369
Ireland,-61.13014700197478,1.1709783267589897,-68.99447218648476,0.7390185939068273
Italy,-27.482366904573276,0.2769899057450731,21.796439339397935,0.04013999314600845
Japan,-2.0589112408695174,0.9750710234602895,7.979720292915756,0.01845875564890532
Mexico,-56.51176564047216,0.17404904991883433,-92.89047762450969,0.19979712986545842
Netherlands,-72.88824874972622,0.3839349338108247,-133.06329674204557,1.6801555132076056
Norway,-33.961031251253644,1.238211188994321,-90.0094743113512,0.23653319644409249
Portugal,-5.108398235297237,1.4868794687720386,-60.02040670237096,0.38856131738992206
ROW,1.2531586758004523,0.11354895793590844,-1.4504868198684207,0.039779875991141904
South Korea,-2.1519053180065257,0.5040498418183778,-9.717314707343036,0.04035158791264129
Spain,-80.54119522529047,0.06600811523115004,-43.77780083280353,0.03766549089639833
Sweden,-41.63363443328602,0.145119455165729,-27.137042292941977,0.09354860063196253
United Kingdom,-60.460504781700685,0.11704820035561019,-29.542695914221696,0.037149730757033615
United States,-1.2808926324295302,0.5376440628220358,8.131219214153973,0.032231968092787625
